name,type,latitude,longitude
Mysen,town,59.555692600000000,11.325959599999999
Odda,town,60.067924800000000,6.546931600000000
Hønefoss,town,60.166208200000000,10.255485999999999
Otta,town,61.771244799999998,9.535254100000000
Sandvika,town,59.892115799999999,10.524991399999999
Rjukan,town,59.878697600000002,8.594157900000001
Sandnessjøen,town,66.021545099999997,12.631723200000000
Stathelle,town,59.043878999999997,9.695275499999999
Ski,town,59.719932600000000,10.838273600000001
Skudeneshavn,town,59.149747200000000,5.258171500000000
Stokmarknes,town,68.567000300000004,14.913348400000000
Svolvær,town,68.232170900000000,14.564601900000000
Svelvik,town,59.613520500000000,10.409106599999999
Åkrehamn,town,59.260800099999997,5.185950100000000
Åndalsnes,town,62.568169200000000,7.686762100000000
Ulsteinvik,town,62.342662900000001,5.846860000000000
Verdalsøra,town,63.792793199999998,11.482028600000000
Vossavangen,town,60.628694400000001,6.414744500000000
Knarvik,town,60.546149200000002,5.285399000000000
Utsjoki,town,69.907601000000000,27.025245800000000
Nordfjordeid,town,61.907680999999997,5.989138100000000
Nesoddtangen,town,59.856145200000000,10.661621100000000
Bardufoss,town,69.065636999999995,18.515923699999998
Sunndalsøra,town,62.675197199999999,8.563293399999999
Stavern,town,58.998339700000002,10.036006100000000
Åsgårdstrand,town,59.349138699999997,10.468019800000000
Jessheim,town,60.141512100000000,11.175151600000000
Florø,town,61.600258300000000,5.034959600000000
Vinstra,town,61.596490600000003,9.736191300000000
Longyearbyen,town,78.223155800000001,15.646365599999999
Svalbard,region,78.719851899999995,20.349332799999999
Nordenskiöld Land,region,77.987535600000001,15.270953600000000
Rørvik,town,64.861574500000003,11.237912800000000
Orkanger,town,63.304819000000002,9.849667600000000
Fagernes,town,60.986098100000000,9.236413000000001
Rognan,town,67.101438599999994,15.393562599999999
Moelv,town,60.929777899999998,10.700042200000000
Barentsburg,town,78.065361999999993,14.217236700000001
Dokka,town,60.834716499999999,10.073902300000000
Raufoss,town,60.726079900000002,10.613323599999999
Ålgård,town,58.769207600000001,5.847239900000000
Råholt,town,60.283857800000000,11.172873299999999
Leavdnja,town,70.052498299999996,24.960657099999999
Vikersund,town,59.966088100000000,9.994865000000001
Egersund,town,58.451512100000002,6.000755400000000
Brevik,town,59.052888600000003,9.699978000000000
Glomfjord,town,66.816569299999998,13.943650000000000
Leirvik,town,59.780939799999999,5.500571200000000
Kopervik,town,59.283584500000003,5.306697500000000
Brumunddal,town,60.884915999999997,10.941839200000000
Kolvereid,town,64.864703700000007,11.602705300000000
Drøbak,town,59.663300499999998,10.629339200000000
Rijpsburg,town,78.381882300000001,14.660228000000000
Osøyro,town,60.185948400000001,5.470048500000000
Straume,town,60.358379700000000,5.123512900000000
