name,latitude,longitude,population,time_Date,gathered_Date,url
Canada,61.0666922,-107.991707,37742,19:36-04/13-2023,2023-04-19 01:55:36.893451,https://www.nrk.no/urix/trur-ein-militaertilsett-21-aring-star-bak-pentagon-lekkasjane-1.16371892
Jemen,16.3471243,47.8915271,29826,19:36-04/13-2023,2023-04-19 01:55:36.893458,https://www.nrk.no/urix/trur-ein-militaertilsett-21-aring-star-bak-pentagon-lekkasjane-1.16371892
Tunisia,33.8439408,9.400138,11819,19:36-04/13-2023,2023-04-19 01:55:36.893465,https://www.nrk.no/urix/trur-ein-militaertilsett-21-aring-star-bak-pentagon-lekkasjane-1.16371892
Israel,30.8124247,34.8594762,8656,19:36-04/13-2023,2023-04-19 01:55:36.893472,https://www.nrk.no/urix/trur-ein-militaertilsett-21-aring-star-bak-pentagon-lekkasjane-1.16371892
Norge,61.1529386,8.7876653,5421,19:36-04/13-2023,2023-04-19 01:55:36.893478,https://www.nrk.no/urix/trur-ein-militaertilsett-21-aring-star-bak-pentagon-lekkasjane-1.16371892
Sudan,14.5844444,29.4917691,43849,10:54-04/14-2023,2023-04-19 01:55:36.893485,https://www.nrk.no/norge/stopper-markedsforingen-av-denne-pa-tiktok_-_-ulovlig-markedsfort-mot-barn-1.16373362
Tunisia,33.8439408,9.400138,11819,10:54-04/14-2023,2023-04-19 01:55:36.893493,https://www.nrk.no/norge/stopper-markedsforingen-av-denne-pa-tiktok_-_-ulovlig-markedsfort-mot-barn-1.16373362
Norge,61.1529386,8.7876653,5421,10:54-04/14-2023,2023-04-19 01:55:36.893500,https://www.nrk.no/norge/stopper-markedsforingen-av-denne-pa-tiktok_-_-ulovlig-markedsfort-mot-barn-1.16373362
USA,39.7837304,-100.445882,331003,Unknown,2023-04-19 01:55:36.893507,https://www.nrk.no/nyheter/dommeren-sier-dominon-og-fox-news-har-lost-saken-1.16379030
Sudan,14.5844444,29.4917691,43849,Unknown,2023-04-19 01:55:36.893513,https://www.nrk.no/nyheter/dommeren-sier-dominon-og-fox-news-har-lost-saken-1.16379030
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.893519,https://www.nrk.no/nyheter/dommeren-sier-dominon-og-fox-news-har-lost-saken-1.16379030
Kina,35.000074,104.999927,1439324,22:16-04/18-2023,2023-04-19 01:55:36.893526,https://www.nrk.no/norge/datatilsynet-undersoker-om-politiets-dronebruk-er-ulovlig-1.16371183
Sudan,14.5844444,29.4917691,43849,22:16-04/18-2023,2023-04-19 01:55:36.893533,https://www.nrk.no/norge/datatilsynet-undersoker-om-politiets-dronebruk-er-ulovlig-1.16371183
Tunisia,33.8439408,9.400138,11819,22:16-04/18-2023,2023-04-19 01:55:36.893539,https://www.nrk.no/norge/datatilsynet-undersoker-om-politiets-dronebruk-er-ulovlig-1.16371183
Norge,61.1529386,8.7876653,5421,22:16-04/18-2023,2023-04-19 01:55:36.893546,https://www.nrk.no/norge/datatilsynet-undersoker-om-politiets-dronebruk-er-ulovlig-1.16371183
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.893552,https://www.nrk.no/osloogviken/mistillitsforslag-mot-raymond-johansen-1.16379025
Storbritannia,54.7023545,-3.2765753,67886,Unknown,2023-04-19 01:55:36.893559,https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378939.1.16378939
Italia,42.6384261,12.674297,60462,Unknown,2023-04-19 01:55:36.893565,https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378939.1.16378939
Argentina,-34.9964963,-64.9672817,45196,Unknown,2023-04-19 01:55:36.893571,https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378939.1.16378939
Senegal,14.4750607,-14.4529612,16744,Unknown,2023-04-19 01:55:36.893577,https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378939.1.16378939
Sverige,59.6749712,14.5208584,10099,Unknown,2023-04-19 01:55:36.893583,https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378939.1.16378939
