name,latitude,longitude,type,published,gathered,url
Oslo,59.975392335668623,10.738759025694977,Fylke,Unknown,2023-04-19 02:39:04.995907,https://www.nrk.no/livsstil/
Troms og Finnmark,69.987686441275571,23.443274091170696,Fylke,Unknown,2023-04-19 02:39:04.995911,https://www.nrk.no/livsstil/
Møre og Romsdal,62.709912278943143,7.201969939935447,Fylke,Unknown,2023-04-19 02:39:04.995916,https://www.nrk.no/livsstil/
Vestfold og Telemark,59.417662044070866,8.914348167088367,Fylke,Unknown,2023-04-19 02:39:04.995921,https://www.nrk.no/livsstil/
Trøndelag,63.911749884246412,10.899119444670195,Fylke,Unknown,2023-04-19 02:39:04.995925,https://www.nrk.no/livsstil/
Rogaland,59.035166461243975,5.868373444721857,Fylke,Unknown,2023-04-19 02:39:04.995930,https://www.nrk.no/livsstil/
Innlandet,61.439147777644699,10.441060410553726,Fylke,Unknown,2023-04-19 02:39:04.995934,https://www.nrk.no/livsstil/
Viken,60.043864112215608,9.972647764726981,Fylke,Unknown,2023-04-19 02:39:04.995939,https://www.nrk.no/livsstil/
Nordland,67.123475111553162,13.908069345866942,Fylke,Unknown,2023-04-19 02:39:04.995943,https://www.nrk.no/livsstil/
Vestland,60.912912622641649,5.969116966557067,Fylke,Unknown,2023-04-19 02:39:04.995948,https://www.nrk.no/livsstil/
Grimstad,58.284567174837427,8.671992097586271,Kommune,Unknown,2023-04-19 02:39:04.995952,https://www.nrk.no/livsstil/
Fauske,67.161861554641632,16.043484869791971,Kommune,Unknown,2023-04-19 02:39:04.995957,https://www.nrk.no/livsstil/
Agder,58.533697190544508,7.710662305515249,Fylke,Unknown,2023-04-19 02:39:04.995962,https://www.nrk.no/viten/
Oslo,59.975392335668623,10.738759025694977,Fylke,Unknown,2023-04-19 02:39:04.995966,https://www.nrk.no/viten/
Troms og Finnmark,69.987686441275571,23.443274091170696,Fylke,Unknown,2023-04-19 02:39:04.995971,https://www.nrk.no/viten/
Møre og Romsdal,62.709912278943143,7.201969939935447,Fylke,Unknown,2023-04-19 02:39:04.995975,https://www.nrk.no/viten/
Vestfold og Telemark,59.417662044070866,8.914348167088367,Fylke,Unknown,2023-04-19 02:39:04.995980,https://www.nrk.no/viten/
Trøndelag,63.911749884246412,10.899119444670195,Fylke,Unknown,2023-04-19 02:39:04.995985,https://www.nrk.no/viten/
Rogaland,59.035166461243975,5.868373444721857,Fylke,Unknown,2023-04-19 02:39:04.995989,https://www.nrk.no/viten/
Innlandet,61.439147777644699,10.441060410553726,Fylke,Unknown,2023-04-19 02:39:04.995994,https://www.nrk.no/viten/
Viken,60.043864112215608,9.972647764726981,Fylke,Unknown,2023-04-19 02:39:04.995998,https://www.nrk.no/viten/
Nordland,67.123475111553162,13.908069345866942,Fylke,Unknown,2023-04-19 02:39:04.996002,https://www.nrk.no/viten/
Vestland,60.912912622641649,5.969116966557067,Fylke,Unknown,2023-04-19 02:39:04.996007,https://www.nrk.no/viten/
Agder,58.533697190544508,7.710662305515249,Fylke,Unknown,2023-04-19 02:39:04.996012,https://www.nrk.no/dokumentar/
Oslo,59.975392335668623,10.738759025694977,Fylke,Unknown,2023-04-19 02:39:04.996016,https://www.nrk.no/dokumentar/
Troms og Finnmark,69.987686441275571,23.443274091170696,Fylke,Unknown,2023-04-19 02:39:04.996021,https://www.nrk.no/dokumentar/
Møre og Romsdal,62.709912278943143,7.201969939935447,Fylke,Unknown,2023-04-19 02:39:04.996025,https://www.nrk.no/dokumentar/
Vestfold og Telemark,59.417662044070866,8.914348167088367,Fylke,Unknown,2023-04-19 02:39:04.996030,https://www.nrk.no/dokumentar/
Trøndelag,63.911749884246412,10.899119444670195,Fylke,Unknown,2023-04-19 02:39:04.996035,https://www.nrk.no/dokumentar/
Rogaland,59.035166461243975,5.868373444721857,Fylke,Unknown,2023-04-19 02:39:04.996040,https://www.nrk.no/dokumentar/
Innlandet,61.439147777644699,10.441060410553726,Fylke,Unknown,2023-04-19 02:39:04.996044,https://www.nrk.no/dokumentar/
Viken,60.043864112215608,9.972647764726981,Fylke,Unknown,2023-04-19 02:39:04.996049,https://www.nrk.no/dokumentar/
Nordland,67.123475111553162,13.908069345866942,Fylke,Unknown,2023-04-19 02:39:04.996053,https://www.nrk.no/dokumentar/
Vestland,60.912912622641649,5.969116966557067,Fylke,Unknown,2023-04-19 02:39:04.996058,https://www.nrk.no/dokumentar/
Svalbard,78.719851899999995,20.349332799999999,region,Unknown,2023-04-19 02:39:04.996063,https://www.nrk.no/dokumentar/
Agder,58.533697190544508,7.710662305515249,Fylke,Unknown,2023-04-19 02:39:04.996068,https://www.nrk.no/ytring/
Oslo,59.975392335668623,10.738759025694977,Fylke,Unknown,2023-04-19 02:39:04.996072,https://www.nrk.no/ytring/
Troms og Finnmark,69.987686441275571,23.443274091170696,Fylke,Unknown,2023-04-19 02:39:04.996077,https://www.nrk.no/ytring/
Møre og Romsdal,62.709912278943143,7.201969939935447,Fylke,Unknown,2023-04-19 02:39:04.996081,https://www.nrk.no/ytring/
Vestfold og Telemark,59.417662044070866,8.914348167088367,Fylke,Unknown,2023-04-19 02:39:04.996086,https://www.nrk.no/ytring/
Trøndelag,63.911749884246412,10.899119444670195,Fylke,Unknown,2023-04-19 02:39:04.996091,https://www.nrk.no/ytring/
Rogaland,59.035166461243975,5.868373444721857,Fylke,Unknown,2023-04-19 02:39:04.996105,https://www.nrk.no/ytring/
Innlandet,61.439147777644699,10.441060410553726,Fylke,Unknown,2023-04-19 02:39:04.996110,https://www.nrk.no/ytring/
Viken,60.043864112215608,9.972647764726981,Fylke,Unknown,2023-04-19 02:39:04.996115,https://www.nrk.no/ytring/
Nordland,67.123475111553162,13.908069345866942,Fylke,Unknown,2023-04-19 02:39:04.996119,https://www.nrk.no/ytring/
